supplier_id,narrative,recommended_action,confidence
MFG-000,Pacific Solutions is healthy (score 83.0). No flagged dimensions.,Standard quarterly review.,HIGH
MFG-001,Atlas Tech is healthy (score 77.6). No flagged dimensions.,Standard quarterly review.,HIGH
MFG-002,Volta Systems is healthy (score 81.7). No flagged dimensions.,Standard quarterly review.,HIGH
MFG-003,Nexus Ltd is healthy (score 88.2). No flagged dimensions.,Standard quarterly review.,HIGH
MFG-004,Memex Works is healthy (score 82.2). No flagged dimensions.,Standard quarterly review.,HIGH
MFG-005,"Sensorium Components is in CONDITIONAL status (score 65.8). Concerns in capacity; OTD 91.8%, 3 escapes in 60d. Worth attention but not immediate escalation. NOTE: PPAP approved but 3 quality escapes in 60 days; multi-dimensional risk that single-factor checks would miss.",Pull-in quality review with supplier; verify corrective action plan before next gate.,MEDIUM
MFG-006,"EastBay Manufacturing is in CONDITIONAL status (score 63.8). Concerns in capacity; OTD 92.9%, 1 escapes in 60d. Worth attention but not immediate escalation.",Monitor in monthly supply review; follow up if any dimension worsens.,MEDIUM
MFG-007,"Precision Group is in CONDITIONAL status (score 73.8). No single dimension at red, but several are below threshold. OTD 82.4%, 3 escapes in 60d. NOTE: PPAP approved but 3 quality escapes in 60 days; multi-dimensional risk that single-factor checks would miss.",Pull-in quality review with supplier; verify corrective action plan before next gate.,MEDIUM
MFG-008,DisplayWorks Partners is healthy (score 82.1). No flagged dimensions.,Standard quarterly review.,HIGH
MFG-009,"PowerCell Industries is in CONDITIONAL status (score 64.7). No single dimension at red, but several are below threshold. OTD 93.5%, 2 escapes in 60d.",Monitor in monthly supply review; follow up if any dimension worsens.,MEDIUM
MFG-010,"FormFlex Corp is in CONDITIONAL status (score 69.8). No single dimension at red, but several are below threshold. OTD 88.6%, 4 escapes in 60d. NOTE: PPAP approved but 4 quality escapes in 60 days; multi-dimensional risk that single-factor checks would miss.",Pull-in quality review with supplier; verify corrective action plan before next gate.,MEDIUM
